sample,pop,super_pop,gender,gender_numeric,pop_numeric,super_pop_numeric
HG01597,KHV,EAS,female,2,9,3
HG01598,KHV,EAS,female,2,9,3
HG01599,KHV,EAS,female,2,9,3
HG01600,KHV,EAS,female,2,9,3
HG01602,IBS,EUR,female,2,8,4
HG01603,IBS,EUR,male,1,8,4
HG01605,IBS,EUR,female,2,8,4
HG01606,IBS,EUR,male,1,8,4
HG01607,IBS,EUR,female,2,8,4
HG01608,IBS,EUR,male,1,8,4
HG01610,IBS,EUR,male,1,8,4
HG01612,IBS,EUR,female,2,8,4
HG01613,IBS,EUR,female,2,8,4
HG01615,IBS,EUR,male,1,8,4
HG01617,IBS,EUR,male,1,8,4
HG01618,IBS,EUR,female,2,8,4
HG01619,IBS,EUR,male,1,8,4
HG01620,IBS,EUR,female,2,8,4
HG01623,IBS,EUR,female,2,8,4
HG01624,IBS,EUR,male,1,8,4
HG01625,IBS,EUR,male,1,8,4
HG01626,IBS,EUR,female,2,8,4
HG01628,IBS,EUR,female,2,8,4
HG01630,IBS,EUR,male,1,8,4
HG01631,IBS,EUR,male,1,8,4
HG01632,IBS,EUR,female,2,8,4
HG01668,IBS,EUR,female,2,8,4
HG01669,IBS,EUR,male,1,8,4
HG01670,IBS,EUR,female,2,8,4
HG01672,IBS,EUR,male,1,8,4
HG01673,IBS,EUR,female,2,8,4
HG01675,IBS,EUR,male,1,8,4
HG01676,IBS,EUR,female,2,8,4
HG01678,IBS,EUR,male,1,8,4
HG01679,IBS,EUR,female,2,8,4
HG01680,IBS,EUR,male,1,8,4
HG01682,IBS,EUR,male,1,8,4
HG01684,IBS,EUR,female,2,8,4
HG01685,IBS,EUR,female,2,8,4
HG01686,IBS,EUR,male,1,8,4
HG01694,IBS,EUR,male,1,8,4
HG01695,IBS,EUR,female,2,8,4
HG01697,IBS,EUR,female,2,8,4
HG01699,IBS,EUR,male,1,8,4
HG01700,IBS,EUR,male,1,8,4
HG01702,IBS,EUR,female,2,8,4
HG01704,IBS,EUR,female,2,8,4
HG01705,IBS,EUR,male,1,8,4
HG01707,IBS,EUR,female,2,8,4
HG01708,IBS,EUR,male,1,8,4
HG01709,IBS,EUR,male,1,8,4
HG01710,IBS,EUR,female,2,8,4
HG01746,IBS,EUR,female,2,8,4
HG01747,IBS,EUR,male,1,8,4
HG01756,IBS,EUR,male,1,8,4
HG01757,IBS,EUR,female,2,8,4
HG01761,IBS,EUR,male,1,8,4
HG01762,IBS,EUR,female,2,8,4
HG01765,IBS,EUR,male,1,8,4
HG01766,IBS,EUR,female,2,8,4
HG01767,IBS,EUR,male,1,8,4
HG01768,IBS,EUR,female,2,8,4
HG01770,IBS,EUR,female,2,8,4
HG01771,IBS,EUR,male,1,8,4
HG01773,IBS,EUR,female,2,8,4
HG01775,IBS,EUR,male,1,8,4
HG01776,IBS,EUR,female,2,8,4
HG01777,IBS,EUR,male,1,8,4
HG01779,IBS,EUR,female,2,8,4
HG01781,IBS,EUR,male,1,8,4
HG01783,IBS,EUR,male,1,8,4
HG01784,IBS,EUR,female,2,8,4
HG01785,IBS,EUR,male,1,8,4
HG01786,IBS,EUR,female,2,8,4
HG01789,GBR,EUR,male,1,6,4
HG01790,GBR,EUR,female,2,6,4
HG01791,GBR,EUR,male,1,6,4
HG01794,CDX,EAS,female,2,2,3
HG01795,CDX,EAS,female,2,2,3
HG01796,CDX,EAS,female,2,2,3
HG01797,CDX,EAS,female,2,2,3
HG01798,CDX,EAS,female,2,2,3
HG01799,CDX,EAS,female,2,2,3
HG01800,CDX,EAS,female,2,2,3
HG01801,CDX,EAS,female,2,2,3
HG01802,CDX,EAS,female,2,2,3
HG01804,CDX,EAS,female,2,2,3
HG01805,CDX,EAS,female,2,2,3
HG01806,CDX,EAS,female,2,2,3
HG01807,CDX,EAS,female,2,2,3
HG01808,CDX,EAS,female,2,2,3
HG01809,CDX,EAS,female,2,2,3
HG01810,CDX,EAS,male,1,2,3
HG01811,CDX,EAS,male,1,2,3
HG01812,CDX,EAS,female,2,2,3
HG01813,CDX,EAS,female,2,2,3
HG01815,CDX,EAS,female,2,2,3
HG01816,CDX,EAS,male,1,2,3
HG01817,CDX,EAS,female,2,2,3
HG01840,KHV,EAS,male,1,9,3
HG01841,KHV,EAS,female,2,9,3
HG01842,KHV,EAS,male,1,9,3
HG01843,KHV,EAS,female,2,9,3
HG01844,KHV,EAS,male,1,9,3
HG01845,KHV,EAS,female,2,9,3
HG01846,KHV,EAS,male,1,9,3
HG01847,KHV,EAS,female,2,9,3
HG01848,KHV,EAS,female,2,9,3
HG01849,KHV,EAS,male,1,9,3
HG01850,KHV,EAS,female,2,9,3
HG01851,KHV,EAS,female,2,9,3
HG01852,KHV,EAS,male,1,9,3
HG01853,KHV,EAS,female,2,9,3
HG01855,KHV,EAS,female,2,9,3
HG01857,KHV,EAS,female,2,9,3
HG01858,KHV,EAS,female,2,9,3
HG01859,KHV,EAS,female,2,9,3
HG01860,KHV,EAS,male,1,9,3
HG01861,KHV,EAS,male,1,9,3
HG01862,KHV,EAS,female,2,9,3
HG01863,KHV,EAS,female,2,9,3
HG01864,KHV,EAS,male,1,9,3
HG01865,KHV,EAS,male,1,9,3
HG01866,KHV,EAS,male,1,9,3
HG01867,KHV,EAS,male,1,9,3
HG01868,KHV,EAS,female,2,9,3
HG01869,KHV,EAS,female,2,9,3
HG01870,KHV,EAS,female,2,9,3
HG01871,KHV,EAS,female,2,9,3
HG01872,KHV,EAS,male,1,9,3
HG01873,KHV,EAS,male,1,9,3
HG01874,KHV,EAS,female,2,9,3
HG01878,KHV,EAS,female,2,9,3
HG01879,ACB,AFR,male,1,1,1
HG01880,ACB,AFR,female,2,1,1
HG01882,ACB,AFR,male,1,1,1
HG01883,ACB,AFR,female,2,1,1
HG01885,ACB,AFR,male,1,1,1
HG01886,ACB,AFR,female,2,1,1
HG01889,ACB,AFR,female,2,1,1
HG01890,ACB,AFR,male,1,1,1
HG01892,PEL,AMR,male,1,10,2
HG01893,PEL,AMR,female,2,10,2
HG01894,ACB,AFR,female,2,1,1
HG01896,ACB,AFR,female,2,1,1
HG01912,ACB,AFR,male,1,1,1
HG01914,ACB,AFR,male,1,1,1
HG01915,ACB,AFR,female,2,1,1
HG01917,PEL,AMR,male,1,10,2
HG01918,PEL,AMR,female,2,10,2
HG01920,PEL,AMR,male,1,10,2
HG01921,PEL,AMR,female,2,10,2
HG01923,PEL,AMR,male,1,10,2
HG01924,PEL,AMR,female,2,10,2
HG01926,PEL,AMR,male,1,10,2
HG01927,PEL,AMR,female,2,10,2
HG01932,PEL,AMR,male,1,10,2
HG01933,PEL,AMR,female,2,10,2
HG01935,PEL,AMR,male,1,10,2
HG01936,PEL,AMR,female,2,10,2
HG01938,PEL,AMR,male,1,10,2
HG01939,PEL,AMR,female,2,10,2
HG01941,PEL,AMR,male,1,10,2
HG01942,PEL,AMR,female,2,10,2
